"year","param","mean","se"
"1984","d50",174.799782569795,0.201845925990223
"1985","d50",183.543535317525,0.112187925762073
"1986","d50",173.187647449478,0.147829967654245
"1987","d50",172.662213847191,0.123666673212388
"1988","d50",172.141619032933,0.18429877796874
"1989","d50",173.704523811282,0.103979404082127
"1990","d50",175.857690824368,0.120970201001472
"1991","d50",175.804617166061,0.0997981890801708
"1992","d50",173.294122718027,0.238917487091278
"1993","d50",168.305839621689,0.0719265989009566
"1994","d50",169.799343661385,0.119156392010252
"1995","d50",172.438780045597,0.0694156213621997
"1996","d50",166.271958857307,0.0981676006116695
"1997","d50",170.561983057313,0.132707011672954
"1998","d50",175.074982740497,0.0832621372936948
"1999","d50",180.900371144439,0.185400987226824
"2000","d50",171.526563522766,0.184684832964893
"2001","d50",174.132700783386,0.132291914329243
"2002","d50",169.991996932298,0.202261239662679
"2003","d50",168.912278034054,0.156125706461541
"2004","d50",173.983153990351,0.150209202679228
"2005","d50",173.635748854327,0.149550914640935
"2006","d50",175.42899501163,0.105657276182404
"2007","d50",177.824925035623,0.0841705658119731
"2008","d50",176.053431924104,0.0870403216235271
"2009","d50",173.133688280695,0.0703881556736366
"2010","d50",173.141290960643,0.194503606767613
"2011","d50",173.874763857253,0.0935631795764284
"2012","d50",178.498214745095,0.111157748959407
"2013","d50",173.533525135762,0.114323726013337
"2014","d50",166.564124500874,0.110561395930925
"2015","d50",174.571943287624,0.181760743396321
"2016","d50",174.139833662978,0.0931465859705798
"2017","d50",178.54093345766,0.138265647841238
"2018","d50",175.464507241877,0.0957212238665887
"1984","h",0.154890001481927,0.00433261334932851
"1985","h",0.254324039319631,0.00638927200278736
"1986","h",0.207360917814401,0.00561568417829612
"1987","h",0.17046921933741,0.00320520085671097
"1988","h",0.163888688533484,0.00445652953189808
"1989","h",0.202700318328793,0.0037742827782345
"1990","h",0.169100703992286,0.00306417388516043
"1991","h",0.186951872641815,0.00308082537946747
"1992","h",0.153045724714378,0.00504386805406927
"1993","h",0.218451393054391,0.00305780613706393
"1994","h",0.185714509699985,0.00368174511675773
"1995","h",0.192554712433606,0.00228178955882503
"1996","h",0.212042232653985,0.00401713865678911
"1997","h",0.261303699158917,0.00799075469460687
"1998","h",0.199235423567436,0.00291725210497866
"1999","h",0.127105460952354,0.00266564851500224
"2000","h",0.165913275804081,0.00458590355111192
"2001","h",0.191921237066439,0.00430883448584643
"2002","h",0.174133618596274,0.00552126222580898
"2003","h",0.16558841216281,0.00390264910289378
"2004","h",0.173419109863198,0.00402087640977985
"2005","h",0.164078145080679,0.00358928547318563
"2006","h",0.194166321001266,0.00351665510235619
"2007","h",0.185316775981864,0.0025498584463018
"2008","h",0.191314446202642,0.00281438199049515
"2009","h",0.228116285925348,0.00323048697108294
"2010","h",0.186488750724492,0.00599688471225025
"2011","h",0.158035799175735,0.00208704798802196
"2012","h",0.217147727311374,0.00461749199470629
"2013","h",0.217210442628222,0.00475937633047612
"2014","h",0.166055306451701,0.00283851355257396
"2015","h",0.117414406203034,0.00230424092865371
"2016","h",0.125414757921823,0.00134687770897631
"2017","h",0.158524976030954,0.00307370898920686
"2018","h",0.166977041125676,0.00236686584043344
