"","base4_out","alt4_out"
"Sstar_0.1","85,300(61,200 -- 130,300)","75,600(56,700 -- 104,900)"
"Sstar_0.3","68,800(49,700 -- 102,400)","59,900(44,800 -- 81,400)"
"Sstar_0.5","51,300(36,300 -- 72,600)","42,700(31,200 -- 56,600)"
"S_MSY","41,600(21,500 -- 64,600)","35,000(21,800 -- 48,100)"
"Cstar_0.1","17,800(4,100 -- 39,600)","24,100(6,200 -- 48,100)"
"Cstar_0.3","27,100(11,300 -- 49,100)","36,200(16,400 -- 59,100)"
"Cstar_0.5","33,100(16,400 -- 56,800)","44,700(24,700 -- 68,800)"
"MSY","34,900(17,900 -- 59,600)","46,600(26,200 -- 71,900)"
"Ustar_0.1","0.17(0.04 -- 0.34)","0.24(0.06 -- 0.43)"
"Ustar_0.3","0.28(0.13 -- 0.42)","0.38(0.19 -- 0.53)"
"Ustar_0.5","0.39(0.25 -- 0.52)","0.51(0.36 -- 0.63)"
"U_MSY","0.46(0.3 -- 0.64)","0.57(0.41 -- 0.71)"
"U_full_mean","0.32(0.42 -- 0.35)","0.32(0.41 -- 0.34)"
"of_MSY","0.62(0.38 -- 0.85)","0.62(0.38 -- 0.85)"
"ex_MSY","0.23(0 -- 0.62)","0.23(0.08 -- 0.54)"
