"","base4_out","alt4_out"
"Sstar_0.1","85,300(61,200 -- 130,300)","83,500(59,500 -- 129,000)"
"Sstar_0.3","68,800(49,700 -- 102,400)","66,700(47,200 -- 99,700)"
"Sstar_0.5","51,300(36,300 -- 72,600)","48,800(33,400 -- 71,900)"
"S_MSY","41,600(21,500 -- 64,600)","41,800(23,300 -- 67,500)"
"Cstar_0.1","17,800(4,100 -- 39,600)","20,600(5,000 -- 45,500)"
"Cstar_0.3","27,100(11,300 -- 49,100)","30,300(12,500 -- 55,800)"
"Cstar_0.5","33,100(16,400 -- 56,800)","36,100(17,800 -- 62,800)"
"MSY","34,900(17,900 -- 59,600)","37,500(19,000 -- 64,800)"
"Ustar_0.1","0.17(0.04 -- 0.34)","0.2(0.05 -- 0.38)"
"Ustar_0.3","0.28(0.13 -- 0.42)","0.32(0.16 -- 0.48)"
"Ustar_0.5","0.39(0.25 -- 0.52)","0.44(0.29 -- 0.59)"
"U_MSY","0.46(0.3 -- 0.64)","0.5(0.33 -- 0.68)"
"U_full_mean","0.32(0.42 -- 0.35)","0.35(0.48 -- 0.41)"
"of_MSY","0.62(0.38 -- 0.85)","0.62(0.38 -- 0.85)"
"ex_MSY","0.23(0 -- 0.62)","0.23(0 -- 0.54)"
