"param","ssm1","ssm2","ssm3","ssm4"
"alpha","2.75(1.91 -- 4.35)","2.44(1.78 -- 3.5)","3.21(2.25 -- 4.66)","2.81(2.03 -- 4.18)"
"Umsy","0.37(0.25 -- 0.49)","0.33(0.22 -- 0.44)","0.44(0.32 -- 0.55)","0.39(0.28 -- 0.5)"
"Smax","16,700(9,100 -- 72,200)","19,300(9,800 -- 81,100)","10,400(6,400 -- 46,900)","10,000(6,200 -- 37,500)"
"Seq","9,300(6,100 -- 15,300)","9,500(5,800 -- 17,900)","9,000(6,900 -- 13,400)","8,500(6,600 -- 13,200)"
"Smsy","4,100(2,700 -- 6,900)","4,300(2,600 -- 8,200)","3,800(2,900 -- 6,000)","3,600(2,800 -- 5,900)"
"SMSY","41,300(16,400 -- 81,900)","40,600(13,800 -- 93,300)","41,300(24,900 -- 64,300)","41,600(23,300 -- 64,200)"
"UMSY","0.39(0.23 -- 0.59)","0.37(0.19 -- 0.57)","0.47(0.32 -- 0.62)","0.46(0.31 -- 0.63)"
"sig","1.02(0.9 -- 1.17)","1.25(1.05 -- 1.49)","0.85(0.75 -- 0.98)","0.99(0.85 -- 1.18)"
"phi","0.33(0.12 -- 0.49)","0.32(0.13 -- 0.49)","0.27(0.06 -- 0.44)","0.3(0.11 -- 0.48)"
"pi[1]","0.27(0.265 -- 0.275)","0.271(0.266 -- 0.276)","0.232(0.204 -- 0.263)","0.234(0.203 -- 0.264)"
"pi[2]","0.379(0.374 -- 0.384)","0.379(0.373 -- 0.384)","0.371(0.336 -- 0.406)","0.372(0.337 -- 0.407)"
"pi[3]","0.327(0.322 -- 0.332)","0.327(0.321 -- 0.332)","0.359(0.324 -- 0.392)","0.357(0.323 -- 0.392)"
"pi[4]","0.024(0.022 -- 0.025)","0.024(0.022 -- 0.025)","0.037(0.027 -- 0.049)","0.037(0.027 -- 0.049)"
"D",NA,NA,"17.95(13.32 -- 23.74)","18.28(13.63 -- 24.06)"
